p:N_excitatory,p:additional_freq,p:initial_freq,p:input_steps,p:learning_rate,p:refrac_e,p:refrac_i,p:rest_steps,p:tau_e2e,p:tau_e2i,p:tau_excitatory,p:tau_i2e,p:tau_i2i,p:tau_inhibitory,p:tau_post_trace,p:tau_pre_trace,p:tau_theta,p:theta_delta,p:theta_init,p:w_ee_colsum,p:w_ei,p:w_ie_over_ei,objective,job_id,m:timestamp_submit,m:timestamp_gather
212,15.294142870382178,36.15740652099445,0.08192889230074407,0.010580752766988598,0.0007701534732411048,0.0036729686676754848,0.056328782950054064,0.020211148212373884,0.0008192065747325849,0.17647167862292368,0.003454252681812622,0.0013022426217204257,0.0018940350070103286,0.004145855665533724,0.004083552438272449,1878.5171348835756,1.7800600413564136e-06,0.004301312315552821,63.15303561742495,0.8839943527472336,17.340623052000296,0.038578905933551705,33,0.11119961738586426,28.94730019569397
342,24.579175574009117,21.897581256226825,0.0986158212204252,0.0035291821464979076,0.01609298743018241,0.02306436875075601,0.04849751738173385,0.013844781063576643,0.0017153204825280108,0.6413835353614507,0.0008628575502061423,0.0005286915084696862,0.0016809711989622547,0.36141958610812713,0.011585478070337192,3516.747869058691,5.357141616449412e-06,0.005351240707642062,57.154191856091785,81.45753539748249,14.760659846368098,0.038578905933551705,56,0.11193156242370605,30.428253889083862
92,16.132406435008406,26.28696120499623,0.16536123683312973,0.006994302197402454,0.010500961168389628,0.0006471734653568833,0.06747534283200743,0.0010755283370111894,9.3698090066005e-05,0.009087055090183226,0.008470095731142085,0.011246193920678646,0.0009178566925989596,0.02396188362132664,0.01924894466051869,63281.73117831621,5.046323769594861e-06,0.007312121070824167,19.938021589613037,79.78619354970323,31.83402889456183,0.038578905933551705,19,0.11077713966369629,34.65625357627869
114,11.101575369425214,46.5161459424482,0.10356726990968715,0.09699998614930264,0.0008544369377966257,0.002953474247393751,0.12295774856598951,0.0003518507810589088,4.047924249240122e-05,0.18335220019155035,0.003453868344492839,0.010483188252182809,0.011515294535084613,0.05332101230843853,0.00890909305586415,6823.674941432242,2.848930312074803e-06,0.0027375716638310195,45.10766716915803,3.735077439934978,32.72108252046417,0.038578905933551705,11,0.11054658889770508,35.99325752258301
182,20.124557259143177,27.3684810027716,0.0888320631609881,0.0009356139502792603,0.1352982295834677,0.0003571043512737731,0.12932526459017532,0.001234259977303949,0.00022650900903032706,0.009104866964836537,0.0010458875051563897,0.00018618881793440827,0.001810663383449177,0.040220377860711407,0.013425400884963103,517.1641723293916,0.000145432137041798,0.003289952746909414,76.5927896321943,30.225457324869414,26.417730516048504,0.06550154875643228,2,0.11028146743774414,38.13723921775818
124,20.204432556606562,13.61487200957541,0.12400329842009625,0.0041319836716824775,0.0004907715106638137,0.015090555862473648,0.12883332770002995,0.0002892382451987551,0.008116237282312578,0.16034010051766778,0.0010798500448217822,0.00016969397255694684,0.0015258035197114037,0.020061097429365172,0.0008259847575946558,60786.52834421353,6.771063221504014e-06,0.005032469019890599,43.43129476239027,0.8990030254808946,2.0528666117281897,0.038578905933551705,14,0.11063194274902344,43.29246735572815
139,20.62282337161445,30.383503264744128,0.17062160728137693,0.007055173768077236,0.00857234789402845,0.02155476448777406,0.11983906232262588,6.340460929454825e-05,0.010312463424644345,0.004685165545967377,0.0020813250975091793,0.0004404474781354176,0.00207572916403565,0.0008321423254847457,0.008131323604598728,171873.6278064876,4.160907086968697e-06,0.002111352888712372,31.34083240215766,0.7222095751963533,0.6846588232093771,0.038578905933551705,29,0.1110837459564209,49.615323543548584
281,23.173112532536397,17.31651737459286,0.15334510396734083,0.05107702681483201,0.011669630005236784,0.01282047454957132,0.12733191724871346,0.0012160915389033678,0.003905286046104932,0.008322488716670932,0.0024923589866004685,0.00013561427937809612,0.004527752790722534,0.07189728012273261,0.016372988748451115,5224.953899389702,0.00020553744223009664,0.0012720992855214473,43.394518130127445,278.7888421253338,0.7115344700389713,0.06550154875643228,58,0.11199116706848145,51.3034725189209
328,15.882313680014386,16.529370045578062,0.11694763337726884,0.10475969079900214,0.12427793520006751,0.044064871710074636,0.030849289449572898,0.0001246046962986591,0.016954519495263894,0.005565016193602504,0.00012299052636883574,0.020420236561299203,0.03089513535689464,0.001380438173120421,0.0010285823512131021,113912.7300512076,0.0006091613879401805,0.002264444055285154,27.392680516954258,107.4349065163624,27.049669280717467,0.045757490560675115,47,0.11165714263916016,51.863943338394165
153,7.371515131879875,16.249741697347908,0.25616451333893314,0.00039398964985217313,0.0011231780277632384,0.019397801555496603,0.03605582806761633,0.01917308439939522,0.0004255732019189139,0.05947926173869448,0.034659229265614634,0.0008660020593134875,0.0004191725651117782,0.05009503466388714,0.01553706516491443,14153.770613416846,3.298554127118146e-05,0.0024323052205936515,24.35318925224208,1.2570054925368497,0.21132393756049722,0.038578905933551705,24,0.1109309196472168,51.86437726020813
84,9.260933607697678,26.701659576291558,0.20434859409983655,0.00650124337837507,0.00022591463920253933,0.01764503383030109,0.04987547731064943,0.0016051660375537887,0.0010316602780301193,1.3844855868234254,0.04164046358823827,0.0020852856015852956,0.001504307051640042,0.006573233134830197,0.2315894571333761,140911.5430054998,1.489987038479284e-05,0.002827914545890615,51.0716933866195,89.46206339338272,0.057569768857272795,0.038578905933551705,43,0.1115424633026123,53.79560708999634
140,29.668170001619075,25.174257945432377,0.17560969469422755,0.004010873477070656,0.00030655053357429623,8.203467046781454e-05,0.044412394164160374,0.0009441639694446159,0.02745025473325599,1.7758927449823592,0.000381551345269362,0.00032258583582541644,0.0005488227443720685,0.3226288427267351,0.5381366636022217,3784.889374492838,5.986355540660923e-06,0.002059311716546612,16.952763071600433,0.37833656225840673,8.180231505610987,0.038578905933551705,30,0.11111211776733398,55.093788146972656
138,30.67628773384328,41.57975553676821,0.2160471734412816,0.004001129017560612,0.0017048690542380077,0.007253390453940779,0.07140765309154308,0.012830853884073028,0.00016740479011326365,0.014075463832735516,0.0004351489435041594,0.00039945716035075235,0.28358212999819243,0.008840107988583567,0.000808003021524669,75084.54531353238,2.483417243063783e-06,0.04803852549157395,32.04014097037396,0.6554597134791366,26.410672889226657,0.06550154875643228,7,0.11043190956115723,61.73721957206726
137,11.169049975964812,45.100769365460295,0.09039506464382416,0.0015221996203415987,0.0009675645223390445,0.007577295667482049,0.08659595495954552,0.0011528018506316092,0.01334091335488496,0.00707144833066075,0.04188121824413951,0.0099834519911861,0.0007989621536467861,0.004190225387108354,0.003010379097706462,16842.47247801915,0.00013889217859988333,0.009928998299281124,51.65095372325671,192.3389825785571,1.17570702605279,0.03621217265444471,32,0.11117100715637207,62.34785842895508
215,6.626627383932411,49.90867202000034,0.2618860247637731,0.0004831977737567922,0.00036024288507016406,0.004056419763705914,0.0679480126998601,0.0015040299706009083,0.00012983427614724237,0.13698938064763916,0.0027652882447014035,0.00023451596166194357,0.0005565658728874678,0.02561721866957872,0.02070363591873369,83982.0773612186,2.676759085846245e-06,0.017967609701857883,28.843835317799023,1.1647110400812974,0.0729056897822858,0.06550154875643228,0,0.11020255088806152,65.29424691200256
186,18.487799416860707,25.477300645508016,0.3084195443694613,0.005224179640088496,0.0020028834676364443,0.003329785292924428,0.09943071001266332,0.005638756341602175,0.00033543228893854094,0.02055741533238131,0.0020166898699780604,0.008138738185094889,0.007167867606584349,0.5830667595953489,0.004617790472980987,4548.72640636555,2.9254691681886717e-06,0.0007858319037040076,28.892425204868488,20.641030666494352,4.07825854914916,0.038578905933551705,40,0.11139559745788574,72.6102409362793
248,9.850964124592453,34.49842190504398,0.1478635129569268,0.0005949331938369996,0.0006435770569553872,0.009057131169450467,0.1376876448464171,0.0033693136387588445,0.005339549555980514,0.9021659926064539,0.00011957085319905756,0.05002462355624765,0.0062598534425684985,0.03571603494651689,0.0027301285261210066,2401.8743086095596,0.00011222523812315787,0.003727504585961006,50.423302163853904,303.68067138091607,9.11678035220511,0.038578905933551705,52,0.11180949211120605,73.31222414970398
278,6.964541466583757,20.315945437583814,0.15008573613481874,0.24829844410984286,0.007547458981859767,0.008447516282661873,0.05197670182929911,0.0015633170703540028,0.009326969919531955,2.410355272698431,0.002650829528178007,0.0017361331427910374,0.002813700780353861,0.0014674575349136016,0.009498297218132633,9064.350916360689,2.558022856496658e-05,0.00171233943940854,63.23912492080727,125.14384409610224,0.2475189585237376,0.038578905933551705,48,0.11168575286865234,76.84522581100464
267,8.646743363770684,13.368822009832497,0.20624018717386186,0.2818669646767809,0.004430631025190289,9.329936312070461e-05,0.059267625862939745,0.0037990961227645868,0.0009991040289986765,2.2431763307222017,9.872009437440252e-05,0.00537322199977908,0.0015240586593819549,0.2493375345483185,0.0019250640245415452,553.7664943012394,5.784556330074998e-05,0.005966284438935109,49.01435034126564,9.087476582929341,4.593222464540158,0.038578905933551705,64,38.65354919433594,81.26024603843689
91,14.864118107157259,18.69360131147939,0.11016953756508215,0.023896776312503046,0.0029983138188039013,0.0001296677374891938,0.12985819756766026,3.7707621407407576e-05,0.0001606230898829783,0.07878891842782663,0.00254858217729867,0.04837659788559543,0.14943538003255888,0.02735913762212654,0.004197994830462965,11579.91494079864,1.0721189804415167e-05,0.0009847171750581466,21.78082082187312,0.420752857767615,6.182494489142796,0.038578905933551705,60,29.190821886062622,83.75823378562927
190,27.35138010627728,14.862091151582256,0.13143208097843798,0.004251169900375463,0.03620826912037363,0.00597958246873966,0.12214869975482712,6.502558935755233e-05,0.018614667275291444,2.474798829414624,0.00010139934457885899,7.926949073064555e-05,0.11738012956668037,0.04383210218475906,0.0390135717195843,4635.418001143276,5.2030979151688894e-06,0.002531996642809612,19.69062876333801,3.031681053633993,1.2573057259359506,0.038578905933551705,62,35.1948447227478,90.22958326339722
184,26.462214326841856,44.80417835671349,0.2103850126136089,0.20273762395783126,0.0011697174177723768,0.0009343123642558058,0.13213112958226095,0.024094522764762292,0.021823093302855062,0.25887169401510096,0.00023668291974837191,0.01064687608164741,0.047130443160319196,0.07806800452246317,0.01970655118429742,1598.5045630105874,5.053490065246807e-05,0.00380308783533516,36.882796372993305,275.1811378852448,2.264694430546042,0.038578905933551705,65,43.64366960525513,94.04824233055115
376,9.617280111479765,26.76247770053366,0.27482025578084873,0.0005587015623691479,0.008029017204355535,0.011144190250257039,0.08353376989088804,6.605600511661081e-05,0.009299214040715084,0.04042744613817044,0.0003905658978447576,0.000259380104649197,0.000422424508412918,0.01740427662180728,0.015580038615922095,44549.39655052429,1.5490541262457186e-05,0.00933477210078028,20.5673200236695,0.7058284041473475,0.0757437734932863,0.2636034977233576,41,0.11147594451904297,118.73817563056946
100,18.639069258601364,16.31457870923266,0.09583412179216166,0.0008895553193588468,0.005485502396766831,0.002953867444970165,0.10764162825269193,0.0020132407555766042,8.375273012178724e-05,1.1743678353474336,0.02821065829552466,0.0005915494902961038,0.001405232184626109,0.007970234347953103,0.006735792074600531,2212.339074023446,1.9068437423808154e-05,0.0018887857892540534,63.787926890136,69.61358849003808,10.617313980632694,0.038578905933551705,63,36.292879581451416,123.17702507972717
181,10.896934803809451,24.68094809234077,0.11736897238268737,0.0035820518974387914,0.08438493666168694,0.00040554034620611865,0.038595706997029446,0.0007998425539316702,0.007645425725839023,0.12428117803352932,0.00012486113401750866,0.0442515034290112,0.05550950914995377,0.008651703998213772,0.0006697188945564527,1774.8511236836805,0.0001307626135194582,0.0008374314785479441,24.43467102880309,0.9605216382235839,47.103279756268414,0.038578905933551705,22,0.11086583137512207,127.38223457336426
108,11.282744584073894,37.71160059496002,0.1724841450581317,0.0027641817156701886,0.015099486773358284,0.00047492355084188516,0.14346339139433384,0.0023976170222973236,4.93420213859672e-05,0.6099998311736622,0.000965301053108,6.973279771406896e-05,0.0004129588388939497,0.26573162131481104,0.061194675180217345,129676.92988104522,0.0002796229971200871,0.0010254860332519857,71.87381128453144,232.27526275282145,0.19174008524301125,0.038578905933551705,69,53.79518914222717,130.33024501800537
118,25.61015340592656,55.61063059068082,0.07753053827560762,0.019420625844221984,0.006313657433000088,0.02528254718617269,0.0387940283431257,0.0013947661661219157,0.010596032244475589,0.008880456173436616,0.044665412517229754,0.04159959684273467,0.0007356390971156503,0.3038837105721561,0.004866864305118451,31911.7983459818,3.097498543210651e-05,0.058642773787286544,62.413030714581666,50.767629529671304,0.6979816143736702,0.03621217265444471,38,0.11134076118469238,141.38700532913208
309,18.880291429189217,28.25741878015134,0.09466295977960132,0.001261290148244519,0.0002066825637684379,0.0008437352703790766,0.11052107681564365,0.00015113111053306416,0.0001060531601799261,0.005108562973524736,7.873547751339166e-05,0.02427513425697053,0.07165461698670972,0.0015077864408431102,0.0006980309903839851,119867.05082914556,5.141136935693597e-05,0.026405550606043885,61.00929685081589,74.84664186483339,0.38765303957783814,0.12205304837081175,1,0.11024785041809082,143.82024383544922
361,9.760600326225973,16.68317770813992,0.09636606822962761,0.0006466145732712135,0.0006800671434011785,0.004472536164412179,0.10463574993139037,0.00010309350687189169,0.002989310262955171,0.009616820556869759,0.0001600097801949626,0.00014548732010525193,0.08897122092657025,0.010291648772000925,0.0011756805984254387,260725.27502940022,0.0003322174281939402,0.007076008177773459,40.7760082885002,18.934972179828275,0.1956070780912275,0.05551732784983137,55,0.11189746856689453,154.9312469959259
139,9.847279274671067,16.99527555823484,0.20387408940714855,0.0030507956877540822,0.0016892553096375944,0.03139879804035032,0.04637191204741728,0.004855357105355057,0.002796863504089145,2.9863385861056377,0.006361204979165307,0.05812122731958878,0.020329487445433808,0.005388067568142984,0.005494449289296888,5258.411686120095,0.0001378184207028739,0.03261495647349918,47.61505729152474,1.1054599068584856,25.111612130893633,0.045757490560675115,51,0.11177468299865723,164.1519320011139
105,11.08284363068761,41.89815926890237,0.08629958261985493,0.05243331235953848,0.03360365496881638,0.00010655600665358982,0.03813016760123938,0.0002809076666328807,0.0052779870739974805,0.07643206966638004,0.00013614546899330676,0.00027767208888074984,0.03912243045074349,0.5030007958604178,0.00822201905907676,123543.71875149352,0.0006320453244893012,0.0033665551724214077,53.29637208188032,273.80387321261446,5.586513406045188,0.22914798835785574,27,0.11102700233459473,168.08723545074463
